=== bebygdSamferdsel ===
Nr | arealdekkeNiva2                         | arealbrukLandHovedklasse | arealbrukLandUnderklasse | grunnforhold     | Count
52 | skogGran                                | IdrettsOmr               | Skytebane                | organiskeJordlag | 2
53 | skogGran                                | ikkeRegistrert           | ikkeRegistrert           | blokkmark        | 136
54 | skogGran                                | ikkeRegistrert           | ikkeRegistrert           | fjellIDagen      | 2633
55 | skogGran                                | ikkeRegistrert           | ikkeRegistrert           | grunnlendt       | 66136
56 | skogGran                                | ikkeRegistrert           | ikkeRegistrert           | jorddekt         | 92426
57 | skogGran                                | ikkeRegistrert           | ikkeRegistrert           | organiskeJordlag | 1824
58 | skogLauv                                | GroenneOmr               | GravUrnelund             | jorddekt         | 17
59 | skogLauv                                | GroenneOmr               | Lekeplass                | grunnlendt       | 4
60 | skogLauv                                | GroenneOmr               | Lekeplass                | jorddekt         | 21
61 | skogLauv                                | GroenneOmr               | Park                     | grunnlendt       | 1
62 | skogLauv                                | GroenneOmr               | Park                     | jorddekt         | 35
63 | skogLauv                                | IdrettsOmr               | Alpinanlegg              | grunnlendt       | 45
64 | skogLauv                                | IdrettsOmr               | Alpinanlegg              | jorddekt         | 221
65 | skogLauv                                | IdrettsOmr               | Golfanlegg               | jorddekt         | 91
66 | skogLauv                                | IdrettsOmr               | Skytebane                | grunnlendt       | 2
67 | skogLauv                                | IdrettsOmr               | Skytebane                | jorddekt         | 10
68 | skogLauv                                | ikkeRegistrert           | ikkeRegistrert           | blokkmark        | 332
69 | skogLauv                                | ikkeRegistrert           | ikkeRegistrert           | fjellIDagen      | 581
70 | skogLauv                                | ikkeRegistrert           | ikkeRegistrert           | grunnlendt       | 12549
71 | skogLauv                                | ikkeRegistrert           | ikkeRegistrert           | jorddekt         | 55587
72 | skogLauv                                | ikkeRegistrert           | ikkeRegistrert           | organiskeJordlag | 428
---+-----------------------------------------+--------------------------+--------------------------+------------------+-------

=== snaumark ===
Nr | arealdekkeNiva2                         | arealbrukLandHovedklasse | arealbrukLandUnderklasse | grunnforhold     | Count
---+-----------------------------------------+--------------------------+--------------------------+------------------+-------
